MODEL,MAX_FUEL,MTOW,OEW,CLIMB_SPD,CLIMB_FF,CRZ_SPD,CRZ_FF,DES_SPD,DES_FF
B777-300ER,145500,351500,167800,380,10500,490,7500,320,2500
B737-800,20800,79000,41000,350,3000,450,2400,300,800
